type,2320127002,7007744171,8053475328,6775888955,1844505072,1644430081,4057192912,4558609924,1927972279,4020332650,2347167796,8792009665,6117666160,8253242879,3372868164,4388161847,7086361926,1503960366,4319703577,5577150313,4702921684,4445114986,2026352035,3977333714,6290855005,8877689391,5553957443,2873212765,8378563200,8583815059,2022484408,6962181067,1624580081
Sleep Log,1,2,3,3,3,4,,5,5,8,15,15,18,,,23,24,25,26,26,27,28,28,28,,,31,,31,,,31,
Activity Log,31,26,31,26,31,30,4,31,31,31,18,29,28,19,20,31,31,31,31,30,31,31,31,30,29,31,31,31,31,31,31,31,31
Daily Steps Log,31,26,31,26,31,30,4,31,31,31,18,29,28,19,20,31,31,31,31,30,31,31,31,30,29,31,31,31,31,31,31,31,31
Calorie Log,31,26,31,26,31,30,4,31,31,31,18,29,28,19,20,31,31,31,31,30,31,31,31,30,29,31,31,31,31,31,31,31,31
